wds_id,wds_dd,wds_comp,wsi_ra_deg,wsi_dec_deg,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2
21056+6030,A   758AB,AB,316.3917,60.4925,2021.7808,y,0.4258,0.0161,132.44,4.37,1.0,0.4546,:,9,3,Gaia DR3 2192468383843943168,,.,$
21056+6030,"A   758AB,C","AB,C",316.3917,60.4925,2021.7453,y,8.6053,0.1208,189.84,1.65,5.8,1.52,:,3,1,Gaia DR3 2192468383843943168,Gaia DR3 2192468276467448192,.,.
22174+7157,A   782AB,AB,334.3542,71.9519,2021.8,y,0.4288,0.0027,305.3,0.37,0.0,0.0,:,1,1,,,$,$
23576+4804,A   799,AB,359.3875,48.0708,2021.6938,y,2.082,0.0009,191.19,0.03,0.3,0.0,*,1,1,Gaia DR3 1939557100018296192,Gaia DR3 1939557100018356608,.,.
03261+1229,A   829,AB,51.5333,12.4817,2021.8607,y,0.4976,0.0049,35.17,1.06,1.9,0.0707,:,2,1,Gaia DR3 16823936654644480,Gaia DR3 16823940949244160,.,.
03261+1229,A   829,AB,51.5333,12.4817,2022.0846,y,0.4879,0.0066,33.98,1.16,2.0,0.0499,q,3,1,Gaia DR3 16823936654644480,Gaia DR3 16823940949244160,.,.
05100+7541,A   841BC,BC,77.4875,75.6947,2022.1176,y,0.7877,0.0271,246.28,2.77,0.8,0.25,:,2,2,Gaia DR3 503713901913847808,Gaia DR3 503713906209481600,.,.
22043+7311,A   894,AB,331.0667,73.1797,2021.7974,y,0.4818,0.0016,146.2,0.19,0.0,0.0,:,1,1,,,$,$
00245+5632,A   908,AB,6.1292,56.5386,2021.9148,y,0.3415,0.0022,246.67,0.36,0.5,0.0,:,1,1,,,$,$
00508+3203,"A   922Aa,Ab","Aa,Ab",12.7083,32.0494,2021.9601,y,0.5985,0.0035,334.21,0.42,0.4,0.05,:,6,2,,,$,$
00520+3154,A   924,AB,13.0042,31.8997,2021.8222,V,0.365,0.0104,119.9,0.26,0.0,0.0,:,3,1,,,$,$
01011+6022,A   926,AB,15.275,60.3583,2021.8795,y,0.381,0.0015,179.98,0.23,1.3,0.0,:,1,1,Gaia DR3 426478059093070080,,.,$
01071+4744,A   931,AB,16.7625,47.7303,2021.8466,y,0.2983,0.0012,268.5,0.24,1.1,0.0,:,1,1,Gaia DR3 401688160686088192,,.,$
01380+4600,A   944AB,AB,24.5042,45.9983,2021.8767,y,0.894,0.0,302.77,0.0,2.9,0.0,:,1,1,Gaia DR3 398718104901400576,,.,$
01479+4440,A   949,AB,26.9667,44.6667,2020.939,V,3.4956,0.0055,293.96,0.09,2.1,0.0,:,1,1,Gaia DR3 350333545965688064,,.,$
01479+4440,A   949,AB,26.9667,44.6667,2020.939,y,3.4876,0.0059,294.07,0.1,1.3,0.0,*,1,1,Gaia DR3 350333545965688064,,.,$
02199+3047,A   960,AB,34.9625,30.7881,2021.8467,y,1.0485,0.0022,318.26,0.12,1.8,0.0,:,1,1,Gaia DR3 132239603508139392,Gaia DR3 132239607798204288,.,.
02202+2949,A   961,AB,35.0417,29.8117,2021.8467,y,0.3251,0.0005,264.04,0.09,0.0,0.0,,1,1,Gaia DR3 131867869788820608,,.,$
03284+6015,A   980AB,AB,52.0958,60.2556,2021.9225,y,0.4063,0.0074,327.74,1.1,1.8,0.0,q,8,3,,,$,$
03284+6015,A   980AB,AB,52.0958,60.2556,2021.9699,y,0.4083,0.0047,319.21,0.67,1.6,0.0399,:,3,1,,,$,$
05071+5920,A  1025,AB,76.7667,59.3328,2022.1231,y,0.4057,0.0037,105.25,0.53,2.4,0.0,:,1,1,Gaia DR3 283988498948565248,,.,$
05294+3126,A  1035AB,AB,82.35,31.4261,2022.0984,V,1.9042,0.0055,120.32,0.17,1.9,0.0,:,1,1,,,$,$
05294+3126,A  1035AB,AB,82.35,31.4261,2022.0984,y,1.9057,0.0042,119.59,0.13,1.9,0.0,:,1,1,,,$,$
05501+4506,A  1043,AB,87.525,45.0922,2022.1094,y,2.6284,0.0377,248.75,2.84,5.2,0.2804,*,2,1,Gaia DR3 196848525955730944,,.,$
06362+2458,A  1052,AB,99.0542,24.9589,2022.0987,y,1.7632,0.004,96.7,0.13,1.0,0.0459,:,2,1,,,$,$
07320+7520,A  1069,AB,113.0042,75.3333,2022.1125,y,0.7522,0.0012,349.8,0.09,1.3,0.0,:,1,1,,,$,$
08113+7422,A  1074,AB,122.8333,74.3628,2022.1234,y,0.9641,0.002,32.53,0.12,1.2,0.0,:,1,1,Gaia DR3 1135487407722315136,,.,$
13346+7004,A  1096,AB,203.6375,70.0689,2022.3533,y,1.9268,0.0109,171.88,0.33,4.4,0.0,*,1,1,Gaia DR3 1685186257456360704,Gaia DR3 1685186257457273728,.,.
14428+0635,A  1109AB,AB,220.6958,6.5906,2021.3623,y,1.9292,0.0019,88.41,0.06,1.4,0.0,*,1,1,Gaia DR3 1171581870493386112,Gaia DR3 1171581870492769536,.,.
14428+0635,A  1109AB,AB,220.6958,6.5906,2022.3962,y,1.9037,0.0024,88.16,0.15,2.0,0.4497,*,9,3,Gaia DR3 1171581870493386112,Gaia DR3 1171581870492769536,.,.
14428+0635,A  1109AB,AB,220.6958,6.5906,2022.4886,y,1.8844,0.0092,88.03,0.01,1.7,0.0,*,6,2,Gaia DR3 1171581870493386112,Gaia DR3 1171581870492769536,.,.
14497+0759,A  1110AB,AB,222.425,7.9867,2020.4937,y,0.7143,0.0001,242.4,0.01,0.9,0.0,q,1,1,Gaia DR3 1173302640550040576,Gaia DR3 1173302640550747008,.,.
14497+0759,A  1110AB,AB,222.425,7.9867,2021.4936,y,0.7046,0.0002,242.33,0.02,0.7,0.0,,1,1,Gaia DR3 1173302640550040576,Gaia DR3 1173302640550747008,.,.
15116+1007,A  1116,AB,227.9083,10.1247,2021.4909,y,0.8476,0.0003,53.19,0.02,0.2,0.0,,1,1,Gaia DR3 1168175377311429248,Gaia DR3 1168175377312262656,.,.
17082-0105,A  1145,AB,257.0542,-1.0794,2020.5696,y,0.6922,0.0007,338.04,0.05,2.2,0.1,q,4,2,Gaia DR3 4379955529033570816,,.,$
17082-0105,A  1145,AB,257.0542,-1.0794,2021.5674,y,0.6705,0.0034,337.14,0.15,2.3,0.05,q,6,2,Gaia DR3 4379955529033570816,,.,$
17082-0105,A  1145,AB,257.0542,-1.0794,2022.4931,y,0.6804,0.0104,335.83,0.86,2.3,0.1449,q,3,1,Gaia DR3 4379955529033570816,,.,$
19269+1204,A  1181,AB,291.7333,12.0619,2020.6337,y,0.7117,0.0005,199.08,0.04,1.5,0.0,q,1,1,Gaia DR3 4315798269676322304,,.,$
21502+7146,A  1225,AB,327.5583,71.7656,2021.8,y,1.0901,0.0008,193.48,0.04,1.7,0.0,q,1,1,Gaia DR3 2272771318654491904,Gaia DR3 2272771318652864896,.,.
23088+1058,A  1238CD,CD,347.1792,10.9664,2021.8604,C,1.2832,0.0558,306.83,2.49,0.3,0.0,:,1,1,,,$,$
23088+1058,A  1238CD,CD,347.1792,10.9664,2021.8604,V,1.1948,0.0055,298.64,0.26,0.0,0.0,:,1,1,,,$,$
23520+1252,A  1247,AB,358.0042,12.8719,2021.8758,y,0.3959,0.0055,262.84,3.18,0.7,0.0943,:,8,3,Gaia DR3 2769864786179943552,,.,$
00136+4412,A  1254,AB,3.4,44.1953,2021.849,V,1.2551,0.0149,272.23,0.68,1.3,0.0,:,1,1,,,$,$
00136+4412,A  1254,AB,3.4,44.1953,2021.849,y,1.1176,0.0049,271.79,0.25,0.8,0.0,:,1,1,,,$,$
02517+4559,A  1281AB,AB,42.9125,45.9789,2021.9234,y,0.67,0.0043,150.93,1.02,1.8,0.1,:,6,2,Gaia DR3 433996210355952512,,.,$
05576+5831,A  1314,AB,89.4042,58.5122,2022.1122,y,1.0681,0.0162,135.2,0.87,3.8,0.0,:,1,1,Gaia DR3 269063625033848832,,.,$
06095+5843,A  1317,AB,92.3833,58.7108,2022.1094,y,0.579,0.0448,164.24,8.69,2.6,0.7552,:,2,1,Gaia DR3 999373198256303360,,.,$
07042+5626,A  1324AB,AB,106.0375,56.44,2022.1123,y,0.2951,0.0052,8.13,1.0,1.1,0.0,:,1,1,,,$,$
08071+5407,A  1333,AB,121.7667,54.1197,2022.1233,y,0.4888,0.0025,200.08,0.3,1.1,0.0,:,1,1,Gaia DR3 1032587726543971584,,.,$
09591+5316,A  1346,AB,149.7708,53.2636,2022.1999,y,0.6153,0.0032,178.09,0.32,1.1,0.0494,q,3,1,Gaia DR3 828538228357203968,Gaia DR3 828538228356419456,.,.
18003+2154,A  1374AB,AB,270.0708,21.8964,2021.748,y,0.512,0.0045,205.88,0.64,2.0,0.1194,q,3,1,Gaia DR3 4576215537103714944,,.,$
22112+5347,A  1456AB,AB,332.8125,53.7742,2021.7154,V,6.287,0.0001,171.91,0.0,4.3,0.0,,1,1,Gaia DR3 2004626683499515520,Gaia DR3 2004626614782678656,.,.
22112+5347,A  1456AC,AC,332.8125,53.7742,2021.7154,V,7.5041,0.0001,200.24,0.0,4.5,0.0,,1,1,Gaia DR3 2004626683499515520,Gaia DR3 2004626614780039296,.,.
22191+5607,A  1461AB,AB,334.7417,56.1231,2021.7154,V,1.7321,0.0,95.05,0.0,1.1,0.0,:,1,1,Gaia DR3 2006219738408337280,,.,$
23363+5428,A  1491,AB,354.0708,54.4692,2021.8957,y,0.5087,0.0034,98.69,0.38,2.4,0.0,:,1,1,Gaia DR3 1994313573650555648,,.,$
23578+5335,A  1497,AB,359.4542,53.58,2021.8958,y,2.0025,0.0275,230.12,0.79,5.6,0.0,,1,1,,,$,$
00287+3718,A  1504AB,AB,7.1667,37.3039,2020.8897,y,0.6082,0.0004,45.76,0.04,0.3,0.0,q,1,1,,,$,$
01157+3712,A  1519AB,AB,18.925,37.1914,2021.9533,V,1.6749,0.0011,73.06,0.04,1.3,0.0,:,1,1,Gaia DR3 321808297328983168,Gaia DR3 321808297328983040,.,.
01157+3712,A  1519AB,AB,18.925,37.1914,2021.9533,y,1.6673,0.0027,72.98,0.09,1.1,0.0,*,1,1,Gaia DR3 321808297328983168,Gaia DR3 321808297328983040,.,.
02014+4340,A  1527,AB,30.3417,43.6611,2021.9369,y,5.2966,0.0185,238.61,0.39,3.8,0.0213,*,2,1,Gaia DR3 346642725948953984,Gaia DR3 346642725948954240,.,.
03362+4220,A  1535AB,AB,54.0375,42.3392,2021.9699,y,0.6993,0.0099,230.071,4.05,1.2,0.1549,:,3,1,Gaia DR3 237414870025641984,Gaia DR3 237414870021219200,.,.
05372+4339,A  1562,AB,84.3083,43.6464,2022.1093,y,0.3627,0.0061,353.52,1.38,0.7,0.021,:,2,1,Gaia DR3 197038672748747264,,.,$
05437+4333,A  1566,AB,85.9292,43.5503,2022.1093,V,1.6125,0.0091,191.03,0.32,2.7,0.0,:,1,1,,,$,$
05437+4333,A  1566,AB,85.9292,43.5503,2022.1093,y,1.6497,0.0067,188.82,0.23,1.9,0.0,:,1,1,,,$,$
06515+5412,A  1573,AB,102.8792,54.2058,2022.0493,y,0.4167,0.0232,108.2,3.05,0.0,0.0,:,2,1,,,$,$
07143+5515,A  1576,AB,108.5625,55.2522,2022.1123,V,2.8585,0.0268,262.17,0.54,4.6,0.0,*,1,1,Gaia DR3 988040802490379008,Gaia DR3 988040703705816192,.,.
08531+5457,A  1584,AB,133.2833,54.9531,2021.2169,y,0.6658,0.002,97.64,0.16,0.4,0.049,:,15,5,Gaia DR3 1030087329727496320,Gaia DR3 1030087334023113856,.,.
08531+5457,A  1584,AB,133.2833,54.9531,2021.258,y,0.6668,0.003,97.7,0.14,0.4,0.0361,:,3,1,Gaia DR3 1030087329727496320,Gaia DR3 1030087334023113856,.,.
08531+5457,A  1584,AB,133.2833,54.9531,2022.1166,y,0.6561,0.0002,98.56,0.68,0.4,0.0,:,6,2,Gaia DR3 1030087329727496320,Gaia DR3 1030087334023113856,.,.
08531+5457,A  1584,AB,133.2833,54.9531,2022.2191,y,0.6656,0.0122,99.03,0.28,0.3,0.064,q,3,1,Gaia DR3 1030087329727496320,Gaia DR3 1030087334023113856,.,.
13258+4430,"A  1609AB,C","AB,C",201.45,44.4939,2021.3566,V,2.8071,0.0244,220.9,0.5,4.4,0.0,*,1,1,Gaia DR3 1549775731140126592,,.,$
15483+1400,A  1637,AB,237.0792,14.0075,2021.387,V,2.6549,0.0156,257.74,0.34,3.8,0.0,*,1,1,Gaia DR3 1192612328181854976,,.,$
04064+4325,A  1710,AB,61.6042,43.4181,2021.0771,V,0.5942,0.0098,307.92,0.2,0.4,0.0686,,3,1,,,$,$
04064+4325,A  1710,AB,61.6042,43.4181,2020.9392,y,0.6123,0.0054,307.51,0.01,0.6,0.05,,5,2,,,$,$
04064+4325,A  1710,AB,61.6042,43.4181,2021.058,y,0.6069,0.0034,306.91,0.31,0.3,0.1214,,3,1,,,$,$
04064+4325,A  1710,AB,61.6042,43.4181,2022.0096,y,0.6045,0.0045,306.81,0.07,0.4,0.05,,6,2,,,$,$
04064+4325,A  1710,AB,61.6042,43.4181,2022.1175,y,0.5992,0.0096,306.36,0.22,0.2,0.05,,6,2,,,$,$
04344+4241,A  1714,AB,68.5917,42.6767,2021.9536,y,0.3443,0.0113,256.61,0.7,0.8,0.1548,q,2,1,Gaia DR3 252342801957854336,,.,$
05302+4145,A  1720,AB,82.55,41.7556,2022.1394,y,2.1264,0.0016,274.07,0.04,1.6,0.0,*,1,1,Gaia DR3 194554326226659712,Gaia DR3 194554326226659840,.,.
06405+5248,A  1733,AB,100.1292,52.8061,2022.0493,V,1.5733,0.0117,128.62,0.43,2.8,0.0,:,1,1,,,$,$
06405+5248,A  1733,AB,100.1292,52.8061,2022.0495,y,1.5686,0.0115,130.87,0.42,3.3,0.0,:,1,1,,,$,$
07052-0052,A  1741,AB,106.2917,-0.8653,2021.1705,y,1.0016,0.0014,30.36,0.08,1.1,0.0,:,1,1,Gaia DR3 3109574636045340928,Gaia DR3 3109574640345789440,.,.
08211+4725,"A  1745Ca,Cb","Ca,Cb",125.2833,47.4025,2022.1126,V,0.6509,0.0403,293.25,4.55,0.5,0.3284,:,4,1,,,$,$
08211+4725,"A  1745Ca,Cb","Ca,Cb",125.2833,47.4025,2022.2191,V,0.6147,0.0285,298.57,1.3,0.2,0.2224,:,3,1,,,$,$
08211+4725,"A  1745Ca,Cb","Ca,Cb",125.2833,47.4025,2022.1234,y,0.6705,0.0144,296.31,0.38,0.2,0.3072,:,3,1,,,$,$
10575-1105,"A  1770AB,C","AB,C",164.375,-11.0892,2021.1679,y,4.4959,0.0027,9.23,0.03,1.0,0.0,*,1,1,Gaia DR3 3757117135752936576,Gaia DR3 3757117135752681344,.,.
10575-1105,"A  1770AB,C","AB,C",164.375,-11.0892,2022.4079,y,4.4186,0.0008,9.18,0.01,1.3,0.0,q,1,1,Gaia DR3 3757117135752936576,Gaia DR3 3757117135752681344,.,.
01052+4354,A  1810,AB,16.2958,43.9,2021.8466,y,3.1434,0.0026,181.81,0.05,1.2,0.0,*,1,1,,,$,$
03040+2831,A  1824AB,AB,45.9958,28.5089,2021.9152,y,0.3464,0.001,275.7,0.16,0.7,0.0,:,1,1,Gaia DR3 116712785628702208,,.,$
21439+5540,A  1895,AB,325.9625,55.6681,2021.8055,V,3.6614,0.0512,41.59,0.8,4.8,0.0,*,1,1,Gaia DR3 2174998106161996672,,.,$
23082+0502,A  1899,AB,347.0375,5.0344,2021.8548,V,1.5492,0.0049,65.02,0.18,1.7,0.0,*,1,1,Gaia DR3 2662541039579047680,,.,$
23144+0739,A  1900,AB,348.6083,7.6569,2021.8604,V,1.1601,0.0024,241.76,0.12,1.1,0.0,:,1,1,Gaia DR3 2665600400618479488,Gaia DR3 2665600400619252352,.,.
00593-0040,A  1902,AB,14.8333,-0.6744,2021.896,y,0.3661,0.011,223.75,0.97,1.5,0.1347,:,3,1,Gaia DR3 2535806557653639168,,.,$
00593-0040,A  1902,AB,14.8333,-0.6744,2022.06,y,0.3567,0.0022,229.79,1.1,1.1,0.1043,,3,1,Gaia DR3 2535806557653639168,,.,$
00596-0111,A  1903AB,AB,14.8958,-1.1917,2021.896,y,0.3958,0.017,39.14,0.9,1.0,0.3453,:,2,1,Gaia DR3 2535725468671479936,,.,$
00596-0111,A  1903AB,AB,14.8958,-1.1917,2022.06,y,0.437,0.0421,48.32,0.75,1.6,0.3769,:,3,1,Gaia DR3 2535725468671479936,,.,$
00596-0111,"A  1903AB,C","AB,C",14.8958,-1.1917,2021.8551,V,6.4439,0.0249,33.27,0.22,4.5,0.0,*,1,1,Gaia DR3 2535725468671479936,Gaia DR3 2535725468670382592,.,.
00596-0111,"A  1903AB,C","AB,C",14.8958,-1.1917,2021.8838,y,6.4628,0.0114,32.75,0.21,4.4,0.1,*,6,2,Gaia DR3 2535725468671479936,Gaia DR3 2535725468670382592,.,.
00596-0111,"A  1903AB,C","AB,C",14.8958,-1.1917,2022.06,y,6.4595,0.0182,33.03,0.19,5.6,0.5862,:,3,1,Gaia DR3 2535725468671479936,Gaia DR3 2535725468670382592,.,.
01345+3440,A  1913AB,AB,23.6208,34.6608,2022.027,V,0.4086,0.0366,299.51,2.93,0.0,0.0,:,3,1,Gaia DR3 318653794172825600,Gaia DR3 318653798469111680,.,.
01345+3440,A  1913AB,AB,23.6208,34.6608,2021.8386,y,0.4772,0.001,304.96,0.03,0.0,0.0,:,6,2,Gaia DR3 318653794172825600,Gaia DR3 318653798469111680,.,.
01345+3440,A  1913AB,AB,23.6208,34.6608,2021.9602,y,0.4902,0.0392,301.34,0.61,0.2,0.05,:,3,2,Gaia DR3 318653794172825600,Gaia DR3 318653798469111680,.,.
01345+3440,"A  1913AB,C","AB,C",23.6208,34.6608,2021.8004,y,71.0728,0.0017,337.19,0.0,0.9,0.0,:,1,1,Gaia DR3 318653794172825600,Gaia DR3 318700802590865024,!,.
02009+5258,A  1921,AB,30.2083,52.9656,2020.9377,V,2.8803,0.0009,66.98,0.02,0.8,0.0,:,1,1,Gaia DR3 360070713563946240,Gaia DR3 360070713564812288,.,.
02009+5258,A  1921,AB,30.2083,52.9656,2020.9377,y,2.9024,0.0014,67.32,0.03,0.8,0.0,*,1,1,Gaia DR3 360070713563946240,Gaia DR3 360070713564812288,.,.
06052+0708,A  1951,AB,91.2875,7.1278,2022.1068,y,0.4493,0.0013,47.45,0.16,1.5,0.0,:,1,1,Gaia DR3 3322294131312299520,,.,$
09300+4216,A  1985,AB,142.5042,42.2636,2021.217,y,1.6161,0.0003,24.4,0.01,0.1,0.0,*,1,1,Gaia DR3 814295906349971200,Gaia DR3 814295910644264960,.,.
02159+0638,A  2013,AB,33.9708,6.6261,2021.851,y,0.3832,0.0199,113.5,0.74,0.0,0.05,:,6,2,,,$,$
02159+0638,A  2013,AB,33.9708,6.6261,2022.0846,y,0.3899,0.0038,114.05,0.39,0.2,0.2895,:,3,1,,,$,$
15273+1738,A  2074,AB,231.8333,17.635,2021.3788,y,0.2834,0.0011,276.17,0.21,1.1,0.0,:,1,1,Gaia DR3 1208036006713927936,,.,$
15405+1840,A  2076,AB,235.1167,18.6717,2021.387,y,0.7555,0.0003,186.2,0.02,0.3,0.0,,1,1,Gaia DR3 1209819483292655488,Gaia DR3 1209819483295604864,.,.
15542+1659,A  2080,AB,238.5417,16.9911,2022.4888,y,0.3671,0.0078,106.39,0.55,0.4,0.0,q,6,2,Gaia DR3 1196468972594642944,,.,$
22400+0113,A  2099,AB,340.0,1.2092,2021.8678,y,0.8428,0.0055,166.24,0.44,1.3,0.0632,:,14,5,,,$,$
23568+0444,A  2100,AB,359.1958,4.725,2021.7456,y,0.4072,0.0076,252.37,1.01,1.1,0.0824,q,3,1,Gaia DR3 2743477297386692224,,.,$
23568+0444,A  2100,AB,359.1958,4.725,2021.8813,y,0.4211,0.0111,251.56,0.58,1.1,0.0471,q,9,3,Gaia DR3 2743477297386692224,,.,$
07171-1202,A  2123AB,AB,109.275,-12.0336,2022.1071,y,0.3229,0.017,4.49,0.4,1.2,0.1084,q,4,1,,,$,$
10057+4103,A  2142,AB,151.4292,41.045,2021.1816,y,1.0695,0.0005,295.12,0.03,1.2,0.0,,1,1,Gaia DR3 803843712596089216,Gaia DR3 803843712592718464,.,.
16168+0118,"A  2180A,BC","A,BC",244.2083,1.2933,2020.5682,V,48.5426,0.0065,96.91,0.01,2.4,0.0,:,1,1,Gaia DR3 4408803003301115648,Gaia DR3 4408808810090165632,.,!
00429+2047,A  2205,AB,10.7208,20.7764,2021.8222,V,0.3567,0.0021,185.94,0.34,0.8,0.0,:,1,1,Gaia DR3 2801579919908589184,Gaia DR3 2801579924204057472,.,.
00429+2047,A  2205,AB,10.7208,20.7764,2021.853,y,0.3889,0.011,177.64,0.99,0.6,0.1299,:,13,4,Gaia DR3 2801579919908589184,Gaia DR3 2801579924204057472,.,.
02379+2003,A  2219,AB,39.4792,20.0525,2022.0846,y,0.4688,0.0051,145.11,0.42,0.2,0.0533,q,3,1,Gaia DR3 87877509073048448,Gaia DR3 87877509072455808,.,.
